Player_SN,Player_LN,avg_playerankIndex,Player Valuation,scouting_period,Age,Height,Position,Foot,Data_League,Goals.Against,Shots.on.Target.Against,Saves,Save.,Wins,Draws,Losses,Clean.Sheets,Clean.Sheet.Percentage,Penalty.Kicks.Attempted,Penalty.Kicks.Allowed,Penalty.Kicks.Saved,Penalty.Kicks.Missed,Save...Penalty.Kicks.,Free.Kick.Goals.Against,Corner.Kick.Goals.Against,Own.Goals.Scored.Against.Goalkeeper,PSxG,PSxG.SoT,PSxG.GA,Passes.Completed..Launched.,Passes.Attempted..Launched.,Pass.Completion.Percentage..Launched.,Passes.Attempted,Throws.Attempted,Launch.,Average.Pass.Length,Goal.Kicks,Launch...Goal.Kicks.,Avg..Length.of.Goal.Kicks,Crosses.Faced,Crosses.Stopped,Crosses.Stopped..,Def..Actions.Outside.Pen..Area,Avg..Distance.of.Def..Actions
Aaron Ramsdale,Aaron Christopher Ramsdale,0.16102120694549257,13333333,2020-2021,23.0,1.91,Goalkeeper,right,Premier League,1.6661440446838902,5.370123926888655,3.805913432414594,70.43928787217587,0.17933623503524265,0.049815620843122965,0.757197436815469,0.1295206141921197,13.15132390258446,0.1095943658548705,0.07970499334899674,0.0,0.0301110369521185,0.0,0.0,0.2107772586648295,0.08029609853898266,1.6239892394858084,0.28893060089011313,0.049815620843122965,7.601863740660564,22.526623745260203,33.675359689951115,22.546549993597452,3.247978478971617,69.74186918037215,52.60529561033784,7.362748760613573,91.16258614291502,69.4429754553134,8.807401765064139,0.8369024301644656,9.464967960193363,0.5778612017802263,15.243579977995626
Aaron Ramsdale,Aaron Christopher Ramsdale,0.12790407577379984,10625000,2019-2020,22.0,1.91,Goalkeeper,right,Premier League,1.686218069318636,4.762373352602555,3.228052230634368,67.54998186327472,0.2391149800469902,0.18929935920386726,0.5678980776116017,0.1394837383607443,13.4502176276432,0.15940998669799347,0.1394837383607443,0.029889372505873774,0.0,16.638417361603068,0.11040713549110116,0.14051817244321968,0.0,1.6638417361603068,0.31881997339598694,-0.009963124168624592,5.3601608027200305,17.634729778465527,30.28789747261876,22.486771248585704,4.951672711806422,53.50197678551406,44.63479627543817,7.781199975695806,71.33596904735207,58.68280135319885,8.647991778366146,0.538008705105728,6.177136984547247,0.45830371175673124,14.147636319446919
Aitor Fernández,Aitor Fernández Abarisketa,0.1448050774357457,8500000,2020-2021,30.0,1.82,Goalkeeper,right,La Liga,1.52,4.07,2.69,65.3,0.28,0.38,0.34,0.1,10.3,0.1,0.1,0.0,0.0,0.0,0.03,0.21,0.07,1.34,0.31,-0.11,4.28,11.38,37.6,24.69,5.17,38.3,36.2,7.07,27.3,30.0,8.79,0.62,7.1,0.93,14.9
Aitor Fernández,Aitor Fernández Abarisketa,0.1964065127609695,8500000,2019-2020,29.0,1.82,Goalkeeper,right,La Liga,1.42,5.58,4.22,76.1,0.33,0.19,0.47,0.14,13.9,0.17,0.08,0.08,0.0,50.0,0.03,0.22,0.06,1.59,0.27,0.23,5.67,15.36,36.9,21.69,5.17,50.1,41.7,9.36,48.1,41.4,10.61,0.69,6.5,0.81,14.0
Aitor Fernández,Aitor Fernández Abarisketa,0.1823363540738422,1650000,2018-2019,28.0,1.82,Goalkeeper,right,La Liga,1.5,4.63,3.5,73.0,0.25,0.31,0.44,0.13,12.5,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.13,1.44,0.27,0.07,6.5,17.63,36.9,18.25,4.63,56.5,44.3,10.19,71.8,53.1,8.88,0.5,5.6,0.56,13.4
Alban Lafont,Alban Lafont,0.21047342609866262,11250000,2020-2021,22.0,1.96,Goalkeeper,right,Ligue 1,1.6937044756073611,3.5614241367797828,2.5426513668836432,61.211977350902515,0.20546677712191053,0.29107793425603995,0.3595668599633434,0.11129450427436821,11.300672741705078,0.29107793425603995,0.22258900854873642,0.0428055785670647,0.03504216156429023,14.297063241399607,0.058403602607150384,0.2452951309500316,0.03504216156429023,1.1814339684509856,0.23115012426214937,-0.03424446285365176,4.914080419499027,15.20454150702138,27.65240375432379,19.579271636575392,2.8850959954201607,45.716357909625096,38.096964924687576,5.812997569407385,70.02992653571783,49.483248823526786,7.37112062924854,0.5393502899450151,6.249614470791445,0.565033637085254,12.75606241298528
Alban Lafont,Alban Lafont,0.17811056460005573,11666666,2019-2020,21.0,1.96,Goalkeeper,right,Ligue 1,1.2498370957930183,2.8850959954201607,2.0632288869325186,61.12636619376839,0.3510057442499305,0.12841673570119408,0.3766890913901693,0.31676128139627874,31.676128139627874,0.18834454569508466,0.09417227284754233,0.05992780999389058,0.046722882085720306,34.244462853651754,0.0,0.12848792573573084,0.0,0.8047448770608162,0.20546677712191053,-0.11129450427436821,5.230841700895306,15.247347085588443,29.364626897006378,22.096239656318794,4.152141121005275,41.26457773865037,34.929352110724786,5.932853189395167,66.34864677895028,47.34296989517355,7.037237116425437,0.47942247995112464,5.821558685120799,0.7276948356400998,13.612173984326573
Alban Lafont,Alban Lafont,0.17647776826479225,15000000,2018-2019,20.0,1.96,Goalkeeper,right,Serie A,1.315856718895719,3.18332531182824,2.324189219147323,63.576070858387865,0.21704490762465273,0.4069592017962239,0.2984367479838975,0.24417552107773435,23.96537521688874,0.16278368071848956,0.13565306726540796,0.02713061345308159,0.0,15.102708155548752,0.03317285845955594,0.16586429229777971,0.09951857537866783,0.9043537817693864,0.21704490762465273,-0.09043537817693864,4.693596127383116,13.01365091966147,32.64717152187485,20.329873014175806,4.3228110768576675,40.33417866691464,36.174151270775454,6.882132279265031,51.819471695385836,43.318546146753604,9.396235792583925,0.6240041094208766,5.96873495967795,0.7596571766862845,13.655742104717735
Alban Lafont,Alban Lafont,0.13276901996126017,18000000,2017-2018,19.0,1.96,Goalkeeper,right,Ligue 1,1.6586623140430707,3.6299130624870863,2.5426513668836432,60.09903230815883,0.20546677712191053,0.22258900854873642,0.42805578567064695,0.27395570282921405,27.05312565438489,0.13697785141460703,0.13697785141460703,0.0,0.0,0.0,0.09344576417144061,0.2803372925143218,0.0,1.1814339684509856,0.25683347140238816,-0.03424446285365176,5.384941783736739,13.851885224302135,33.30274012517633,17.867048493892806,2.59401806116412,47.086136423771165,37.92574261041932,4.6401247166698125,74.39609554955844,52.65086163748958,10.093555426113854,0.9246004970485975,7.876226456339904,0.9930894227559008,14.639507869936127
Alberto Brignoli,Alberto Brignoli,0.07021591365830362,1150000,2017-2018,27.0,1.88,Goalkeeper,left,Serie A,2.742289632656625,5.145773018267809,3.038628706745138,53.537743880747676,0.07234830254155092,0.14469660508310184,0.5787864203324073,0.07234830254155092,8.229619414101416,0.2893932101662037,0.14469660508310184,0.0,0.17692191178429836,0.0,0.0,0.5307657353528951,0.0,2.098100773704976,0.36174151270775456,-0.14469660508310184,6.665087371640378,19.262735551687932,31.29064084922077,27.085395763993123,4.4132464550346056,46.39334900476952,39.06808337243749,7.460918699597438,64.93260153104194,50.73424715726258,10.427199103801025,1.8087075635387728,15.735755802787322,1.1575728406648147,15.374014290079568
